"","Player","Season","Cluster"
"331","Anthony Parker","2008-09",11
"332","Anthony Parker","2009-10",4
"333","Anthony Parker","2010-11",4
"334","Anthony Parker","2011-12",4
"335","Anthony Peeler","2004-05",1
"336","Anthony Randolph","2008-09",12
"337","Anthony Randolph","2009-10",12
"338","Anthony Randolph","2010-11",12
"339","Anthony Randolph","2011-12",12
"340","Anthony Randolph","2012-13",10
"341","Anthony Randolph","2013-14",18
"342","Anthony Roberson","2005-06",1
"343","Anthony Roberson","2006-07",5
"344","Anthony Roberson","2008-09",5
"345","Anthony Tolliver","2008-09",5
"346","Anthony Tolliver","2009-10",18
"347","Anthony Tolliver","2010-11",18
"348","Anthony Tolliver","2011-12",4
"349","Anthony Tolliver","2012-13",4
"350","Anthony Tolliver","2013-14",5
"351","Anthony Tolliver","2014-15",5
"352","Antoine Walker","2004-05",18
"353","Antoine Walker","2005-06",5
"354","Antoine Walker","2006-07",18
"355","Antoine Walker","2007-08",5
"356","Antoine Wright","2005-06",11
"357","Antoine Wright","2006-07",11
"358","Antoine Wright","2007-08",11
"359","Antoine Wright","2008-09",4
"360","Antoine Wright","2009-10",4
"361","Antoine Wright","2010-11",4
"362","Antonio Anderson","2009-10",2
"363","Antonio Burks","2004-05",2
"364","Antonio Burks","2005-06",2
"365","Antonio Daniels","2004-05",14
"366","Antonio Daniels","2005-06",14
"367","Antonio Daniels","2006-07",14
"368","Antonio Daniels","2007-08",11
"369","Antonio Daniels","2008-09",11
"370","Antonio Daniels","2010-11",11
"371","Antonio Davis","2004-05",9
"372","Antonio Davis","2005-06",13
"373","Antonio McDyess","2004-05",9
"374","Antonio McDyess","2005-06",9
"375","Antonio McDyess","2006-07",9
"376","Antonio McDyess","2007-08",9
"377","Antonio McDyess","2008-09",9
"378","Antonio McDyess","2009-10",9
"379","Antonio McDyess","2010-11",9
"380","Archie Goodwin","2013-14",11
"381","Archie Goodwin","2014-15",14
"382","Arinze Onuaku","2013-14",7
"383","Arinze Onuaku","2014-15",7
"384","Armon Johnson","2010-11",2
"385","Armon Johnson","2011-12",2
"386","Arnett Moultrie","2012-13",13
"387","Arnett Moultrie","2013-14",9
"388","Aron Baynes","2012-13",13
"389","Aron Baynes","2013-14",13
"390","Aron Baynes","2014-15",7
"391","Arron Afflalo","2007-08",11
"392","Arron Afflalo","2008-09",11
"393","Arron Afflalo","2009-10",4
"394","Arron Afflalo","2010-11",4
"395","Arron Afflalo","2011-12",17
"396","Arron Afflalo","2012-13",1
"397","Arron Afflalo","2013-14",17
"398","Arron Afflalo","2014-15",1
"399","Arvydas Macijauskas","2005-06",1
"400","Austin Croshere","2004-05",18
"401","Austin Croshere","2005-06",18
"402","Austin Croshere","2006-07",18
"403","Austin Croshere","2007-08",18
"404","Austin Croshere","2008-09",18
"405","Austin Daye","2009-10",18
"406","Austin Daye","2010-11",18
"407","Austin Daye","2011-12",1
"408","Austin Daye","2012-13",18
"409","Austin Daye","2013-14",5
"410","Austin Daye","2014-15",5
"411","Austin Rivers","2012-13",11
"412","Austin Rivers","2013-14",14
"413","Austin Rivers","2014-15",11
"414","Avery Bradley","2010-11",16
"415","Avery Bradley","2011-12",11
"416","Avery Bradley","2012-13",11
"417","Avery Bradley","2013-14",1
"418","Avery Bradley","2014-15",1
"419","Awvee Storey","2004-05",2
"420","Awvee Storey","2005-06",16
"421","Awvee Storey","2007-08",9
"422","Baron Davis","2004-05",17
"423","Baron Davis","2005-06",17
"424","Baron Davis","2006-07",17
"425","Baron Davis","2007-08",17
"426","Baron Davis","2008-09",17
"427","Baron Davis","2009-10",17
"428","Baron Davis","2010-11",17
"429","Baron Davis","2011-12",4
"430","Ben Gordon","2004-05",16
"431","Ben Gordon","2005-06",1
"432","Ben Gordon","2006-07",16
"433","Ben Gordon","2007-08",16
"434","Ben Gordon","2008-09",17
"435","Ben Gordon","2009-10",17
"436","Ben Gordon","2010-11",1
"437","Ben Gordon","2011-12",1
"438","Ben Gordon","2012-13",1
"439","Ben Gordon","2013-14",1
"440","Ben Gordon","2014-15",1
"441","Ben Handlogten","2004-05",13
"442","Ben Hansbrough","2012-13",17
"443","Ben McLemore","2013-14",4
"444","Ben McLemore","2014-15",4
"445","Ben Uzoh","2010-11",14
"446","Ben Uzoh","2011-12",11
"447","Ben Wallace","2004-05",7
"448","Ben Wallace","2005-06",7
"449","Ben Wallace","2006-07",7
"450","Ben Wallace","2007-08",7
"451","Ben Wallace","2008-09",13
"452","Ben Wallace","2009-10",7
"453","Ben Wallace","2010-11",13
"454","Ben Wallace","2011-12",7
"455","Beno Udrih","2004-05",1
"456","Beno Udrih","2005-06",1
"457","Beno Udrih","2006-07",1
"458","Beno Udrih","2007-08",2
"459","Beno Udrih","2008-09",2
